-0.3496,7.3023,4.8188,-51.4768,-76.3742,435887,,
-1.188,24.7747,16.3299,-51.487,-76.1762,435893,2.25,
-1.6787,32.0258,21.0118,-51.4968,-75.9781,435898,2.154,
-1.7475,34.8119,23.0179,-51.5063,-75.7799,435903,2.143,
-1.7038,35.8441,24.3609,-51.5154,-75.5816,435907,2.152,
-1.9209,36.6776,24.808,-51.5242,-75.3833,435912,2.145,
-1.9424,36.006,24.5999,-51.5325,-75.1849,435916,2.15,
-1.7678,36.1987,24.5889,-51.5444,-74.8871,435923,2.147,
-1.6243,36.34,24.841,-51.5519,-74.6885,435927,2.145,
-1.659,36.405,24.9493,-51.559,-74.4898,435931,2.147,
-1.6457,36.5473,25.3866,-51.5658,-74.2911,435935,2.163,
-1.6924,36.5665,25.332,-51.5721,-74.0923,435939,2.144,
-2.0099,36.3973,25.2665,-51.5781,-73.8935,435942,2.143,
-2.3865,36.6043,24.8388,-51.5865,-73.5951,435947,2.153,
-2.3142,36.7777,24.7421,-51.5916,-73.3961,435951,2.151,
-2.2601,36.8509,24.7895,-51.5963,-73.1971,435954,2.144,
-2.2833,36.5749,24.479,-51.6007,-72.998,435957,2.155,
-2.146,36.2483,24.3108,-51.6047,-72.7989,435960,2.146,
-1.9518,36.6201,24.3823,-51.6083,-72.5998,435962,2.15,
-1.7563,36.6835,25.2529,-51.6116,-72.4006,435965,2.171,
-1.6743,36.4322,25.2854,-51.6158,-72.1019,435969,2.151,
-1.8453,36.241,24.9842,-51.6182,-71.9026,435971,2.157,
-2.1341,36.1554,24.9214,-51.6201,-71.7034,435973,2.145,
-1.667,36.2728,24.6295,-51.6218,-71.5041,435975,2.147,
-1.6656,36.0291,24.6034,-51.623,-71.3048,435977,2.141,
-1.9242,35.7833,24.452,-51.6239,-71.1056,435979,2.147,
-1.9225,35.7349,24.7193,-51.6244,-70.9063,435980,2.147,
-1.9791,35.9425,24.5451,-51.6245,-70.6073,435983,2.147,
-2.2659,35.662,25.0382,-51.6241,-70.408,435984,2.146,
-2.3481,35.5808,25.1099,-51.6234,-70.2087,435985,2.146,
-1.8297,35.064,24.9191,-51.6222,-70.0095,435986,2.15,
-1.8833,35.2533,25.1544,-51.6207,-69.8102,435987,2.147,
-2.0526,35.5557,25.4724,-51.6189,-69.6109,435988,2.146,
-2.0293,35.6269,25.3161,-51.6154,-69.3121,435988,2.141,
-2.1458,35.6274,24.9948,-51.6126,-69.1129,435989,2.145,
-2.1211,35.7149,25.2776,-51.6095,-68.9137,435989,2.146,
-2.0927,35.4625,25.3108,-51.6059,-68.7146,435989,2.146,
-2.0341,35.2019,25.131,-51.6021,-68.5155,435989,2.155,
-1.9739,35.3663,25.0681,-51.5978,-68.3164,435989,2.153,
