0
4618,739589
0
-3030,965421
-763,798193
0
-74,27905544
240,4661602
-542,7482546
0
281,7696509
-149,9273101
204,3925667
-356,2174538

47,7
211,5587269
-121,9820945
36,21047228
99,29104723
0
-19,1
23,01441478
51,10546201
-63,45720739
8,9
69,40349076
0
-50,71790554
-16,11790554
1,157207392
23,23930185
-3,633839836
-27,06965092
-1,408952772
0
8,139301848
-14,51790554
12,53930185
-11,04825462
14,50895277
3,078603696
-6,24825462
2,8
0
-23,4
11
9,8
-5,1
-6,3
7,8
0,4
-1,4
9,6
0
3,4
-0,2
3,6
4,8
-8,6
-0,1
-4,3
-3,4
-0,1
-8,8
0
0
2,5
-0,6
-0,4
0,6
-0,2
-1,7
-1,6
-3
-2
-2,6
0
-1,2
0,5
1,4
-1,8
0,1
0,8
-0,2
0,6
0,2
-0,9
0
0,5
0
-0,9
0,6
1,4
-0,4
-1,3
-0,1
0,3
-0,1
0,5
0,5
-0,4
-0,4
-0,6
