-29397,3701
-1441,254168
-2513,938398
2972,875565
1674,262669
1366,06768
-2388,890595
1240,240821
510,0581109
901,4358111
807,4144148
78,60940452
-302,621848
41,35219713
-234,6910472
363,8517454
187,0179055
-140,4393018
-149,505462
14,67314168
65,34825462
65,10895277
73,4213963
-119,805462
-38,02488706
13,5
-63,52685832
80,46965092
-76,96069815
-8,2
57,41244353
15,93034908
5,74825462
-8,242792608
10,84279261
23,7
9,830349076
-17,73034908
0,021396304
-21,23034908
15,8213963
14,09104723
-16,63034908
0,221396304
5
8,4
2,9
-1,5
-1,1
-13,2
1,1
8,8
-9,3
-11,9
-1,9
-6,2
-0,1
1,7
-0,9
0,7
-0,9
1,9
1,4
-2,4
-3,8
3
-1,4
-2,5
2,3
-0,9
0,3
-0,7
-0,1
1,4
-0,6
0,2
3,1
-2
-0,1
0,5
1,3
-1,2
0,7
0,3
0,5
-0,3
-0,5
0,1
-1,1
-0,3
0,1
-0,9
0,5
0,7
-0,3
0,8
0
0,8
0
0,4
0,1
0,5
-0,5
-0,4
